feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
s_median_line,float64,96641,0,0.0,46202,128.29839634145964,328.70389707142317,0.0449,17741.0,0.0,,2.86,6.99,48.835,469.29,1285.2240000000024,0.5199479294277243,0.03450144675771898,0.613766082332207
w_e_b,float64,96641,0,0.0,95859,0.001003714779441438,0.007197072993670466,3.589078437120844e-08,1.0,0.0,,3.056275459746789e-06,9.46714696330221e-06,0.00018740504347600613,0.0037751449380378148,0.012265327676553871,0.7059137738759229,0.3561433835178908,0.748707384402379
delta_trend,float64,96641,0,0.0,5,-0.30243892343829226,0.4872103395880537,-2.0,0.0,0.6309537359919702,,-2.0,-1.5,0.0,0.0,0.0,0.8898836853382308,0.7856078107282338,-0.454087925842251
last_order_month_cos,float64,96641,0,0.0,11,-0.04236268447749683,0.6989845871709545,-1.0,1.0,0.0,,-1.0,-0.8660254037844388,-1.8369701987210297e-16,1.0,1.0,0.5135953308462341,0.02370567018724621,-0.313011199534086
last_order_month_sin,float64,96641,0,0.0,11,0.25189843936584055,0.6679691599384766,-1.0,1.0,0.08906157841909748,,-1.0,-1.0,0.49999999999999994,1.0,1.0,0.7768293729332818,0.4852336196251521,-0.0008210356878080795
last_order_quarter_cos,float64,96641,0,0.0,4,0.14643888204799205,0.6357486082190107,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.7504156296333218,0.45714481022435033,-0.2565375105680728
last_order_quarter_sin,float64,96641,0,0.0,4,0.25892737037075364,0.7122818331841945,-1.0,1.0,0.2860276694156724,,-1.0,-1.0,1.2246467991473532e-16,1.0,1.0,0.7188171040256914,0.39946030381625963,0.2565375105680728
q4_share,float64,96641,0,0.0,90,0.18944722159883148,0.2840310711603397,0.0,1.0,0.532217174905061,,0.0,0.0,0.0,1.0,1.0,0.5185727782141103,0.03487813096386318,0.1520704503607001
recent_3m_count,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_6m_count,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_3_over_6,float64,96641,96641,1.0,0,,,,,0.0,,,,,,,,,
active_month_share_12m,float64,96641,0,0.0,7,0.07837856948224184,0.11517331277756414,0.0,0.5,0.5267226125557476,,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.9457997020421571,0.56088474149218
first_order_year,float64,96641,0,0.0,3,2023.461657060668,0.6648252820189648,2023.0,2025.0,0.0,,2023.0,2023.0,2023.0,2025.0,2025.0,0.5365784931612451,0.07436961839414012,-0.18578235340224053
last_order_year,float64,96641,0,0.0,3,2024.2950197121304,0.751334994168936,2023.0,2025.0,0.0,,2023.0,2023.0,2024.0,2025.0,2025.0,1.0,0.9402019618456624,
years_since_last_order,float64,96641,0,0.0,3,0.7049802878695378,0.751334994168936,0.0,2.0,0.47327738744425246,,0.0,0.0,1.0,2.0,2.0,1.0,0.9402019618456624,
active_year_span,float64,96641,0,0.0,3,1.8333626514626298,0.8606947475497866,1.0,3.0,0.0,,1.0,1.0,2.0,3.0,3.0,0.8439420392002218,0.6421769878768514,0.18578235340224053
recency_to_gap_ratio,float64,96641,35869,0.37115716931737047,1412,4.068413236060066,4.493390783815018,0.20689655172413793,35.0,0.0,,0.3684210526315789,0.6666666666666666,2.857142857142857,11.6,27.0,0.7063204400613505,0.3463736085985289,0.37652046711664144
delta_vs_expected_gap,float64,96641,35869,0.37115716931737047,1230,6.896604757194931,7.761732228308782,-23.0,34.0,0.008588487288004057,,-14.0,-4.5,5.619047619047619,22.0,29.0,0.8989134721212448,0.6697279282027572,0.17927219905024647
is_overdue,float64,96641,35869,0.37115716931737047,2,0.8761765286645166,0.32938276294986013,0.0,1.0,0.07786550221955485,,0.0,0.0,1.0,1.0,1.0,0.5641970757389971,0.18890839154701844,0.22128124955511003
spend_recent_3m,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
spend_recent_6m,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
spend_recent_ratio,float64,96641,96641,1.0,0,,,,,0.0,,,,,,,,,
order_value_cv,float64,96641,0,0.0,64851,0.47615844261690576,0.5003192711478971,0.0,9.145830608062438,0.3281009095518465,,0.0,0.0,0.407933381053313,1.3553359438786319,1.9841693354583403,0.7435685603015444,0.42891289511108305,0.32707576684191564
log_employees,float64,96641,0,0.0,87,7.145635458205213,1.991482381538226,0.0,12.620883941637919,0.018905019608654712,,0.0,3.9318256327243257,7.409136443920128,9.88786617163317,12.620883941637919,0.5080251965691831,0.013881663178405494,0.052175153948433424
nace_section,str,96641,96641,1.0,0,,,,,,1.0,,,,,,,,
nace_3,str,96641,96641,1.0,0,,,,,,1.0,,,,,,,,
nace_2,str,96641,1358,0.01405200691218013,36,,,,,,0.13714675965687442,,,,,,,,
nace_code,str,96641,1358,0.01405200691218013,71,,,,,,0.06112312579546983,,,,,,,,
secondary_nace_2,str,96641,47201,0.48841588973624034,23,,,,,,0.48841588973624034,,,,,,,,
secondary_nace_code,str,96641,47201,0.48841588973624034,38,,,,,,0.48841588973624034,,,,,,,,
nace_mismatch,float64,96641,0,0.0,2,0.8843761964383646,0.31977491726710827,0.0,1.0,0.11562380356163533,,0.0,0.0,1.0,1.0,1.0,0.503640359227099,0.011367918413305238,0.018322121750185993
has_gap_history,float64,96641,0,0.0,2,0.6288428306826295,0.4831169010972174,0.0,1.0,0.37115716931737047,,0.0,0.0,1.0,1.0,1.0,0.6889065702629111,0.39045944626493695,0.21166758227912802
has_recent_6m_activity,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
has_recent_spend_6m,float64,96641,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
has_secondary_nace,float64,96641,0,0.0,1,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.5,,
has_multi_year_history,float64,96641,0,0.0,2,0.5324034312558852,0.49895149433436037,0.0,1.0,0.4675965687441148,,0.0,0.0,1.0,1.0,1.0,0.7498612033743914,0.5000594068273384,0.17443895136646032
n_orders_in_lookback,int64,96641,0,0.0,376,9.23510725261535,27.12199092323876,1.0,2415.0,0.0,,1.0,1.0,3.0,35.0,106.0,0.7816993527949124,0.49722169378613673,0.43612449568507217
lookback_spend,float64,96641,0,0.0,69742,1109.4288097862193,4584.585474901287,0.0449,571190.78,0.0,,4.02,11.57,210.98000000000002,4533.109930000001,14798.34802400017,0.7105620123981249,0.36418286238425834,0.7852241042580256
avg_spend_per_order,float64,96641,0,0.0,74284,148.22982907275656,349.80949420832604,0.0449,17741.0,0.0,,3.25,8.129999999999999,61.22222222222222,534.12,1407.9520000000032,0.5247906122524157,0.042877231402352764,0.6950249924573484
days_since_last,int64,96641,0,0.0,854,467.56066265870595,253.0981493120277,184.0,1094.0,0.0,,184.0,190.0,393.0,985.0,1072.0,1.0,0.8647939449073269,-0.32464334470096895
history_cohort,str,96641,0,0.0,2,,,,,,0.9999689572748627,,,,,,,,
buyer_tenure_months,float64,96641,0,0.0,18,35.42872328559684,2.51135805343108,15.571616294349539,35.972404730617605,0.0,,16.819973718791065,33.11432325886991,35.939553219448094,35.939553219448094,35.972404730617605,0.5320554564356947,0.08338956719622055,0.0006270353677372744
pair_tenure_months,float64,96641,0,0.0,870,26.132611435190846,8.623461905811475,6.044678055190539,35.972404730617605,0.0,,6.865965834428383,9.494086727989487,28.48226018396846,35.67674113009198,35.90670170827858,0.5186931264787901,0.03233137347390777,0.24742421097367048
effective_lookback_months,float64,96641,0,0.0,18,35.42872328559684,2.51135805343108,15.571616294349539,35.972404730617605,0.0,,16.819973718791065,33.11432325886991,35.939553219448094,35.939553219448094,35.972404730617605,0.5320554564356947,0.08338956719622055,0.0006270353677372744
avg_monthly_orders_buyer_tenure,float64,96641,0,0.0,1204,0.26135772485670833,0.7617761122343625,0.027799086757990872,67.19616087751372,0.0,,0.027824497257769653,0.027824497257769653,0.08347349177330896,1.0016819012797076,3.0050457038391225,0.7914739051008924,0.5096502717169361,0.4403419368930245
avg_monthly_orders_pair_tenure,float64,96641,0,0.0,10564,0.3041749477353298,0.7735818399358285,0.027824497257769653,67.19616087751372,0.0,,0.02844859813084112,0.03194123819517314,0.12055445544554456,1.0720296570898982,3.097011915673694,0.8776557499333261,0.6531841474589358,0.46265793531270427
avg_monthly_spend_buyer_tenure,float64,96641,0,0.0,76209,31.440117689703463,129.18393893040107,0.0012493199268738574,15893.09629177331,0.0,,0.11391349177330895,0.3280508226691042,5.969189396709324,128.272323583181,420.2067900223765,0.7141034879983112,0.3703081111435415,0.7907083323625251
avg_monthly_spend_pair_tenure,float64,96641,0,0.0,96172,37.414998546206874,135.14035002884575,0.0018370376344086024,16024.928426912442,0.0,,0.1820445624829519,0.5422924369747899,8.853841379310344,150.39842559598495,458.1297836768403,0.7425982071841487,0.4195918743831066,0.8446352562464974
avg_monthly_orders_in_lookback,float64,96641,0,0.0,1204,0.26135772485670833,0.7617761122343625,0.027799086757990872,67.19616087751372,0.0,,0.027824497257769653,0.027824497257769653,0.08347349177330896,1.0016819012797076,3.0050457038391225,0.7914739051008924,0.5096502717169361,0.4403419368930245
avg_monthly_spend_in_lookback,float64,96641,0,0.0,76209,31.440117689703463,129.18393893040107,0.0012493199268738574,15893.09629177331,0.0,,0.11391349177330895,0.3280508226691042,5.969189396709324,128.272323583181,420.2067900223765,0.7141034879983112,0.3703081111435415,0.7907083323625251
