legal_entity_id	estimated_number_employees	nace_code	secondary_nace_code	task
23846489	9.0	4669.0		none
23996452	9.0	4643.0		none
23996460				none
24321451	5.0	161.0		none
24446489	400.0	3030.0	7112.0	none
24521462	19.0	4662.0		none
24746461	6.0	4743.0	7733.0	none
24821481	96.0	4651.0	2620.0	none
24946452	159.0	3299.0	4649.0	none
24996454	16.0	2932.0	3312.0	none
25171483	110.0	4637.0		none
25196497	5.0	7022.0	6209.0	none
25246460	15.0	4669.0	4669.0	none
25296456	199.0	6209.0		none
25471463	200.0	651.0		none
25521486	609.0	2222.0		none
25646451	23.0	4669.0		none
25871495	350.0	5229.0		none
26021451	34.0	2561.0		none
26046473	16.0	2611.0		none
26096463	3.0	6201.0	1820.0	none
26121490	200.0	2790.0	3250.0	none
26296490		4643.0		none
26321452	105.0	6203.0		none
26621483	2.0	46.0		none
27021498	250.0	9311.0	9329.0	none
27046473	9.0	7112.0		none
27121478	2454.0	2446.0		none
27237838	154.0	2841.0		none
27271491	49.0	2630.0	9511.0	none
27546475	60.0	2620.0		none
27621471	150.0	4669.0	4669.0	none
27896488		1073.0		none
27946494	19.0	2815.0		none
28021466	41.0	3700.0	4221.0	none
28421455	5.0	711.0		none
28421532	26.0	8411.0		none
28646483		2611.0		none
28721467	15.0	477.0	4742.0	none
29546495	10.0	1399.0	1396.0	none
29571471	54.0	2740.0		none
29596485	139.0	2593.0		none
29671496	2.0	6201.0	6202.0	none
29946458	3.0	6201.0	6202.0	none
30121498	14.0	4671.0		none
30321472	5.0			none
30521452	9000.0	8542.0		none
30646483	19.0	4651.0		none
31071454	650.0	3511.0	3513.0	none
31271458	9.0	8122.0		none
31521457	5.0	4759.0		none
31596475	2.0	4619.0		none
31896478	6.0	4773.0		none
31946491	5.0	4649.0		none
32421482	50.0	2611.0	2630.0	none
32571483	500.0	4615.0	4618.0	none
32846458		8411.0		none
33021473	15.0	6201.0	6202.0	none
33196452	10.0	2016.0		none
33271484	166.0	1629.0		none
33396489	49.0	4321.0		none
33446457	400.0	2822.0	2511.0	none
33521493		91.0		none
33971693	7243.0	8542.0		none
34021668		6202.0		none
35296694	1772.0	2790.0	2599.0	none
35321651	360.0	8424.0		none
35321658	627.0	2611.0	6201.0	none
35321687	26.0	2219.0	3312.0	none
35471689	2000.0	2219.0		none
35696654	2.0	4618.0		none
35946671	19.0	2550.0		none
35971659	3.0	6201.0	4321.0	none
36096676	5.0	6201.0		none
36171698	86.0	5510.0	7010.0	none
36271661	10.0	1812.0		none
36521664	9.0	4520.0		none
36571693	5.0	862.0		none
36896690	199.0	2229.0		none
36946652	15.0	3315.0	7734.0	none
37096668	40.0	4312.0	4399.0	none
37296678	2.0	4662.0	4669.0	none
37371688	19.0	2611.0		none
37596679	75.0	2790.0		none
37746671	49.0	4617.0		none
37821675		4321.0		none
37921662	62.0	8411.0		none
37921682	1187.0	7219.0		none
38546690	120.0	3821.0	3700.0	none
38621687	2700.0	7219.0		none
38696661	13.0	3299.0	4669.0	none
39021697	55.0	7219.0		none
39046683	16.0	181.0	4762.0	none
39096681	104.0	811.0	4613.0	none
39221663	5.0	91.0		none
39271694	25.0	2814.0	4669.0	none
39321662	23.0	1610.0		none
39321680	700.0	4741.0	6201.0	none
39546674	132.0	4643.0	2712.0	none
39721699	341.0	2592.0		none
39746674	1.0	960.0		none
39896685	82.0	2910.0		none
39896689	67.0	4674.0	2814.0	none
40021668	11.0	2651.0		none
40021679		8121.0		none
40246658	5.0	5229.0		none
40546668		91.0		none
40546691	75.0	2822.0	4676.0	none
40571687	1500.0	2849.0	2573.0	none
40646690	250.0	2561.0		none
40796676	191.0	265.0	332.0	none
41046855	4450.0	8610.0		none
41047012	19.0	2899.0		none
41047399	5.0	7112.0		none
41047411	25.0	9101.0		none
41047414	400.0	4675.0		none
41047617	71.0	1073.0	4617.0	none
41047799		91.0		none
41049259	40.0	7112.0	7112.0	none
41049311				none
41049687	9.0	7112.0		none
41049809		2441.0		none
41049924	336.0	2740.0		none
41050141	3.0	28.0	4669.0	none
41050142	100.0	2651.0	7112.0	none
41050145	50.0	8542.0		none
41050451		4321.0		none
41050503	87.0	2511.0	7112.0	none
41050561	356.0	2910.0		none
41050606	261.0	8411.0		none
41050884	85.0	2599.0	1729.0	none
41050910	87.0	5310.0	9609.0	none
41051075		2511.0		none
41052067	123.0	2229.0	4674.0	none
41052070	3500.0	2711.0	2732.0	none
41052268	15.0	8810.0		none
41052631	6.0	4673.0	7112.0	none
41053052		162.0		none
41053096	2.0	4618.0		none
41053179		5229.0		none
41053225	70.0	842.0		none
41053465				none
41053712	164.0	5320.0		none
41053860	49.0	2814.0	452.0	none
41053918	3858.0	8542.0		none
41071781	5.0	2562.0		none
41072501	439.0	2120.0	4646.0	none
41072514	420.0	8622.0		none
41072684	5.0	4741.0	6209.0	none
41072697	229.0	2894.0		none
41072769	902.0	6419.0		none
41073036	339.0	6419.0		none
41073064	99.0	4321.0		none
41073103	102.0	4646.0	2651.0	none
41073209	1.0	2899.0	1813.0	none
41073834	5.0	329.0		none
41073903	99.0	4321.0		none
41074103	42.0	4649.0	2899.0	none
41074257	13.0	2841.0	2573.0	none
41074424	151.0	3513.0	3530.0	none
41074466	99.0	1812.0		none
41074821	33.0	7112.0	2059.0	none
41075014		91.0		none
41075110	33.0	8411.0		none
41075452	11.0	4752.0	4675.0	none
41075479	157.0	2815.0	2813.0	none
41075511	3300.0	84.0		none
41075623	11.0	4321.0		none
41076236	3.0	4321.0	4329.0	none
41076352	1.0	4648.0		none
41076947	20.0	8790.0		none
41077106	900.0	212.0		none
41077154	10.0	4532.0		none
41077511		1624.0		none
41078265	5.0	4773.0		none
41079333	49.0	5229.0		none
41079357	9.0	4221.0		none
41079450	7.0	4329.0	6201.0	none
41079504	19.0	8299.0	6399.0	none
41079513	426.0	1711.0	1712.0	none
41079637	19.0	4321.0		none
41079694		2591.0		none
41080020	95.0	2042.0		none
41080025	999.0	4651.0		none
41080262	99.0	2573.0		none
41080430	150.0	5229.0	5210.0	none
41080668	589.0	8542.0		none
41080701	16.0	251.0		none
41081972		162.0		none
41082085	13.0	2219.0		none
41082105	18.0	5914.0		none
41082166	71.0	6201.0	4741.0	none
41082482	7.0	2740.0	2790.0	none
41082881	5.0	4614.0	3312.0	none
41083220	349.0	3212.0	2120.0	none
41083422		133.0		none
41083685	100.0	7219.0		none
41084389		91.0		none
41084452	2300.0	9609.0		none
41084762		8411.0		none
41086031	3700.0	4211.0		none
41086044		191.0		none
41086214	185.0	8610.0		none
41086272	25.0	8413.0		none
41086461	40.0	4329.0	3320.0	none
41086685		131.0		none
41087068	116.0	4643.0	2712.0	none
41087122	1606.0	2790.0		none
41087138	296.0	2611.0	4643.0	none
41087165		2651.0		none
41089131	316.0	8411.0		none
41089154	28.0	77.0	4743.0	none
41089246	1.0	2620.0	2651.0	none
41089386	99.0	2611.0		none
41090374				none
41090535	10000.0	2211.0	4532.0	none
41090603	19.0	2712.0	4643.0	none
41090700	1.0	4726.0	4634.0	none
41090781	10.0	3011.0	3315.0	none
41090805				none
41091019	70.0	2815.0	4669.0	none
41091320	4.0	6920.0		none
41091453	79.0	28.0		none
41091474	9297.0	8542.0		none
41091587	12.0	4672.0	4669.0	none
41091598	32.0	2829.0		none
41092321	35.0	4662.0	3312.0	none
41092786		2451.0		none
41092813	19.0	2841.0		none
41092896		4511.0		none
41092949	5.0	4741.0		none
41094025	5.0	4614.0		none
41095128	5.0	257.0		none
41095164	19.0	1623.0		none
41095401	6000.0	8542.0		none
41095413	135.0	6201.0	4614.0	none
41095857	90.0	3600.0		none
41096025		8411.0		none
41096048	5.0	4799.0		none
41096382	400.0	1811.0	581.0	none
41096438		232.0		none
41096475	34.0	5229.0	494.0	none
41096786	56.0	4321.0	2790.0	none
41097699	21.0	4672.0	2410.0	none
41097791	9.0	4652.0		none
41097796	15.0	7311.0		none
41097886		2811.0		none
41098634	9.0	2611.0		none
41098755	80.0	7219.0	7211.0	none
41098917	82.0	1812.0		none
41099114	5.0	7112.0	2712.0	none
41099136	520.0	6209.0		none
41099152	50.0	2920.0		none
41099765	1197.0	8810.0		none
41099831	45.0	4511.0		none
41100593	40.0	2550.0	2599.0	none
41100698	25.0	2790.0	4321.0	none
41100720	124.0	8810.0	8899.0	none
41100728	5.0	4669.0		none
41100907	185.0	4675.0	4631.0	none
41100933	1702.0	8413.0		none
41101264	623.0	2361.0	2369.0	none
41101270	11.0	3530.0		none
41101935	140.0	8531.0	8899.0	none
41101946	139.0	4332.0	2229.0	none
41102126	350.0	8610.0		none
41103178	105.0	2899.0	2651.0	none
41103287	43.0	7120.0	7490.0	none
41103298	2754.0	8542.0		none
41103510	12.0	6190.0	6209.0	none
41103514	49.0	5229.0		none
41103887	209.0	1812.0	1330.0	none
41103888	413.0	2612.0		none
41104069	316.0	8411.0		none
41104205	11.0	2611.0	4791.0	none
41104270	15.0	2670.0	4791.0	none
41104626	172.0	7112.0	3250.0	none
41105359	1743.0	1089.0	1020.0	none
41105691	4.0	6209.0	6201.0	none
41106043	4.0	32.0		none
41106080	312.0	6209.0	6202.0	none
41106119	160.0	2599.0	2221.0	none
41106293	50.0	2561.0		none
41106702	5.0	477.0		none
41108335	163.0	9601.0	7729.0	none
41109144	1850.0	8411.0		none
41109391	200.0	8412.0	8424.0	none
41109543	16.0	2561.0		none
41109714	4.0	7022.0		none
41110563	2050.0	4771.0		none
41111243	24.0	6201.0	4321.0	none
41111765	40.0	2410.0	2420.0	none
41113258	5.0	2571.0		none
41113516	20.0	721.0	7500.0	none
41113787	10.0	2790.0	2712.0	none
41114200	5.0	6920.0		none
41114247	10.0	4674.0	4752.0	none
41114451	22.0	4321.0	4222.0	none
41114461	5.0	476.0		none
41114610	20.0	3101.0		none
41114702	6.0	841.0		none
41115329	672.0	8411.0		none
41115618	5.0	6810.0		none
41115839	597.0	2712.0	222.0	none
41116095	33.0	2120.0	2660.0	none
41116171	350.0	2932.0		none
41116230	120.0	7112.0	7022.0	none
41116552	44.0	4632.0	1013.0	none
41116554		2812.0		none
41116734	37229.0	42.0	4120.0	none
41118294	1679.0	7120.0		none
41118614	4.0	38.0		none
41118626	4197.0	6420.0	6619.0	none
41119001	5.0	5610.0		none
41119436	12.0	2895.0	2849.0	none
41119659	285.0	7219.0		none
41119662	5.0	4321.0		none
41119751	148.0	9101.0		none
41119823	49.0	2829.0		none
41120200	20.0	9101.0		none
41120838	75.0	6820.0		none
41120874	1421.0	3101.0	2599.0	none
41120879	1000.0	6512.0		none
41120939	221.0	3020.0	3317.0	none
41121031	149.0	4671.0	4669.0	none
41121035	5.0	6920.0		none
41121291	25.0	7112.0	7729.0	none
41122165	9.0	433.0		none
41122287	430.0	4329.0	4399.0	none
41122503	200.0	2313.0		none
41122740	5.0	4321.0		none
41122977		2591.0		none
41123023	247.0	2815.0	293.0	none
41123036	420.0	3811.0		none
41123089	2680.0	2670.0	2651.0	none
41123371		2651.0		none
41123633		2651.0		none
41123995	41.0	2030.0	4675.0	none
41124144	120.0	2790.0		none
41124217		8411.0		none
41124733	99.0	2229.0		none
41125457	3.0	6201.0	6202.0	none
41125546	1510.0	2712.0		none
41125623	46.0	7112.0		none
41125632	61.0	3250.0	4646.0	none
41125665	53.0	4675.0	4673.0	none
41125708	931.0	9004.0		none
41125874	2.0	8230.0		none
41126758	180.0	4673.0	2312.0	none
41126793		851.0		none
41126859	65.0	721.0	2221.0	none
41126924		4673.0		none
41126972	10.0	8413.0		none
41127039	548.0	8610.0		none
41127086	171.0	4674.0	3101.0	none
41127115	3.0			none
41127233	2.0	461.0		none
41127250	9.0	7111.0		none
41127594	50.0	5010.0		none
41127620	85.0	2829.0		none
41146885	5.0	7112.0		none
41146947		84.0		none
41147099	26.0	6420.0		none
41147447	341.0	1032.0		none
41147652	7661.0	8542.0		none
41148045	150.0	2651.0		none
41148081		161.0		none
41148449	10.0	2812.0		none
41148696	9.0	4321.0		none
41148707	99.0	2829.0		none
41148723	300.0	9609.0		none
41148777	218.0	6209.0		none
41149367	15.0	8730.0		none
41150040	400.0	2222.0	1721.0	none
41150072	380.0	8710.0	8730.0	none
41150259	49.0	2920.0		none
41150633	273.0	7219.0		none
41150654	66.0	2711.0	2712.0	none
41151124	115.0	2651.0	7112.0	none
41152166	64.0	5223.0	3030.0	none
41152199	19.0	25.0		none
41152237	22.0	2562.0	2511.0	none
41152359	176.0	303.0	3316.0	none
41152390		712.0		none
41152417	44.0	2829.0	282.0	none
41152849	1.0	4321.0		none
41153150	5.0	1812.0		none
41153825	100.0	2561.0	2932.0	none
41154058	6.0	8690.0		none
41154066		701.0		none
41154099	100.0	2822.0		none
41154233	10.0	2651.0	4669.0	none
41154356	11.0	6910.0		none
41154390		9499.0		none
41154411	108.0	2561.0		none
41154725	71.0	2562.0	2651.0	none
41154727	203.0	2651.0	2611.0	none
41155161	60.0	4644.0	4676.0	none
41155293	170.0	8411.0		none
41155303				none
41155391	86.0	2790.0		none
41155415	350.0	8412.0		none
41155524	112.0	4618.0	2611.0	none
41156019	600.0	2732.0	2611.0	none
41156235	70.0	8411.0		none
41156547	308.0	2611.0		none
41156551		133.0		none
41156612	675.0	8412.0		none
41156718	6593.0	2041.0	2110.0	none
41158001				none
41158233		279.0		none
41158342	133.0	2611.0		none
41158806		2591.0		none
41159056	98.0	7420.0	7420.0	none
41159080	130.0	2550.0	2599.0	none
41159259		2811.0		none
41159590	151.0	7219.0		none
41159692	172.0	2899.0	2829.0	none
41159717	240.0	2899.0	2562.0	none
41159920	222.0	2812.0	3299.0	none
41160040	8.0	2562.0		none
