feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
first_order_year,float64,323176,0,0.0,3,2023.6822288783821,0.7342354210848798,2023.0,2025.0,0.0,,2023.0,2023.0,2024.0,2025.0,2025.0,0.7420541671536668,0.4219908627472575,-0.15878472827048287
last_order_year,float64,323176,0,0.0,3,2024.0154559744535,0.7729546906779995,2023.0,2025.0,0.0,,2023.0,2023.0,2024.0,2025.0,2025.0,1.0,0.8506336014056515,
years_since_last_order,float64,323176,0,0.0,3,0.9845440255464515,0.7729546906779995,0.0,2.0,0.3065759833651014,,0.0,0.0,1.0,2.0,2.0,1.0,0.8506336014056515,
active_year_span,float64,323176,0,0.0,3,1.3332270960714905,0.6397653723943703,1.0,3.0,0.0,,1.0,1.0,1.0,3.0,3.0,0.6899512624867306,0.40668915406681033,0.15878472827048287
recency_to_gap_ratio,float64,323176,216128,0.6687625318711785,1386,4.741606313046906,5.906913089978788,0.20689655172413793,35.0,0.0,,0.3333333333333333,0.5714285714285714,2.6666666666666665,17.0,32.0,0.775689481498642,0.47716651629792667,0.266288235625314
delta_vs_expected_gap,float64,323176,216128,0.6687625318711785,1192,8.203473352309123,9.48778652673436,-23.0,34.0,0.0056316063073990645,,-16.0,-7.0,7.0,25.5,31.5,0.9065394820963524,0.7037090694961001,0.17618172086081663
is_overdue,float64,323176,216128,0.6687625318711785,2,0.8407443389881175,0.3659160371415119,0.0,1.0,0.05275144193875783,,0.0,0.0,1.0,1.0,1.0,0.6151606912248074,0.31448763773039906,0.19105345399331522
spend_recent_3m,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
spend_recent_6m,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
spend_recent_ratio,float64,323176,323176,1.0,0,,,,,0.0,,,,,,,,,
order_value_cv,float64,323176,0,0.0,124275,0.18148888736704805,0.31452515811543263,0.0,5.418978381626071,0.6108343441344655,,0.0,0.0,0.0,0.842404329556765,1.2529527015206245,0.6455783071014723,0.26462011634752336,0.24702889023299282
log_employees,float64,323176,0,0.0,87,7.219041613144838,2.0317599722463155,0.0,12.620883941637919,0.018698789514072826,,0.0,3.9318256327243257,7.428927194802272,10.024376869811581,12.620883941637919,0.5019340039724263,0.003089446547737629,0.027147556365831448
nace_section,str,323176,4993,0.015449785875188752,14,,,,,,0.5410333688145159,,,,,,,,
nace_3,str,323176,20352,0.06297497338911305,60,,,,,,0.10416305666262346,,,,,,,,
nace_2,str,323176,4993,0.015449785875188752,36,,,,,,0.14164727578780603,,,,,,,,
nace_code,str,323176,4993,0.015449785875188752,71,,,,,,0.08048555585810828,,,,,,,,
secondary_nace_2,str,323176,164664,0.5095180335173404,23,,,,,,0.5095180335173404,,,,,,,,
secondary_nace_code,str,323176,164664,0.5095180335173404,38,,,,,,0.5095180335173404,,,,,,,,
nace_mismatch,float64,323176,0,0.0,2,0.8972417506250464,0.30364333823018935,0.0,1.0,0.10275824937495359,,0.0,0.0,1.0,1.0,1.0,0.5042871583238038,0.013019818708655978,0.013000080084216221
has_gap_history,float64,323176,0,0.0,2,0.33123746812882143,0.47065899893982516,0.0,1.0,0.6687625318711785,,0.0,0.0,0.0,1.0,1.0,0.6357119526522574,0.2658954493679965,0.2030568644933471
has_recent_6m_activity,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
has_recent_spend_6m,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
has_secondary_nace,float64,323176,0,0.0,1,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.5,,
has_multi_year_history,float64,323176,0,0.0,2,0.23967126271752853,0.42688348810386473,0.0,1.0,0.7603287372824715,,0.0,0.0,0.0,1.0,1.0,0.6692126161123975,0.36552960369162407,0.15119451227082223
n_orders_in_lookback,int64,323176,0,0.0,230,2.761622150159665,7.478320560184538,1.0,876.0,0.0,,1.0,1.0,1.0,8.0,25.0,0.6555308376911462,0.2828662967734338,0.28734185440563825
lookback_spend,float64,323176,0,0.0,113829,331.75826672324064,1900.2155773660006,0.0119899999999999,571190.78,0.0,,2.68,6.98,73.64,1217.2075,4235.3825125,0.6044058412063857,0.16675694321863932,0.8396209205454417
avg_spend_per_order,float64,323176,0,0.0,132691,125.15513453319595,332.8924206638381,0.0119899999999999,28072.92,0.0,,2.38875,5.92,46.28,461.28925,1300.99625,0.5168330812670263,0.026885786701833995,0.8630511137797025
days_since_last,int64,323176,0,0.0,911,567.725403495309,265.0651418435439,184.0,1095.0,0.0,,188.0,209.0,537.0,1034.0,1083.0,1.0,0.7986011262073933,-0.1418124888721238
history_cohort,str,323176,0,0.0,2,,,,,,0.9999845285541006,,,,,,,,
buyer_tenure_months,float64,323176,0,0.0,18,35.49250507861902,2.320139529079387,15.571616294349539,35.972404730617605,0.0,,16.819973718791065,33.11432325886991,35.939553219448094,35.939553219448094,35.972404730617605,0.5459564157903352,0.11050245624615855,0.010067066149861175
pair_tenure_months,float64,323176,0,0.0,911,22.863102901306373,8.822723945656366,6.044678055190539,35.972404730617605,0.0,,6.471747700394218,8.21287779237845,23.423127463863338,35.2496714848883,35.84099868593955,0.7288580592850822,0.36553254856312334,0.16543486627194834
effective_lookback_months,float64,323176,0,0.0,18,35.49250507861902,2.320139529079387,15.571616294349539,35.972404730617605,0.0,,16.819973718791065,33.11432325886991,35.939553219448094,35.939553219448094,35.972404730617605,0.5459564157903352,0.11050245624615855,0.010067066149861175
avg_monthly_orders_buyer_tenure,float64,323176,0,0.0,772,0.07815515968969586,0.20977795621419376,0.027799086757990872,24.374259597806216,0.0,,0.027799086757990872,0.027824497257769653,0.027824497257769653,0.22423572744014733,0.723436928702011,0.678771638256296,0.3053962280223983,0.2786364522791467
avg_monthly_orders_pair_tenure,float64,323176,0,0.0,9291,0.11798205551158081,0.2268616394821355,0.027799086757990872,24.418901098901102,0.0,,0.028185185185185185,0.029726562499999998,0.07204733727810651,0.3187434554973822,0.8183796040697217,0.9035231279757213,0.6445071694634881,0.28965586650702213
avg_monthly_spend_buyer_tenure,float64,323176,0,0.0,149385,9.401701901287941,53.346378143355714,0.00033361572212065537,15893.09629177331,0.0,,0.07568263254113346,0.19671919561243145,2.0818512460661314,34.5270012797075,120.42769351005485,0.6096060359735712,0.1750626908229672,0.8410931007841702
avg_monthly_spend_pair_tenure,float64,323176,0,0.0,311364,14.278009751016546,62.83358152572719,0.00038018291666666354,16024.928426912442,0.0,,0.12121853732209664,0.3230966388573977,3.6602070806852725,53.83451251991666,173.289139094755,0.7019659684544262,0.3225799156791406,0.9101232643001802
avg_monthly_orders_in_lookback,float64,323176,0,0.0,772,0.07815515968969586,0.20977795621419376,0.027799086757990872,24.374259597806216,0.0,,0.027799086757990872,0.027824497257769653,0.027824497257769653,0.22423572744014733,0.723436928702011,0.678771638256296,0.3053962280223983,0.2786364522791467
avg_monthly_spend_in_lookback,float64,323176,0,0.0,149385,9.401701901287941,53.346378143355714,0.00033361572212065537,15893.09629177331,0.0,,0.07568263254113346,0.19671919561243145,2.0818512460661314,34.5270012797075,120.42769351005485,0.6096060359735712,0.1750626908229672,0.8410931007841702
top_manufacturer_share,float64,323176,0,0.0,5347,0.2990352006337104,0.32572499883576,0.00041407867494824016,1.0,0.0,,0.004499454611562235,0.011627906976744186,0.16326530612244897,1.0,1.0,0.5265684701615461,0.042498177117419045,0.14774956307995046
n_distinct_manufacturers,int64,323176,0,0.0,75,9.268417209198702,10.658100124405014,1.0,108.0,0.0,,1.0,1.0,6.0,31.0,53.0,0.5462581258158354,0.07410407182874781,0.010448742481971618
eclass_n_buyers_global,int64,323176,0,0.0,1302,2321.710523058643,1996.277587940314,1.0,10931.0,0.0,,38.0,158.0,1823.0,6471.0,8197.0,0.5516256820927173,0.08245673189502996,0.018639462412354764
